entry,timeGMT,timeELA (s),CRC,exec,currSpeed (0.1 RPM),refSpeed (0.1 RPM),state,clcMode,voltage (V),current (mA),power (mW)
1,23:36:39 GMT,0.322,1,1,9500,10000,4,1,3.272,4.8,15.706
2,23:36:39 GMT,0.628,1,1,9500,10000,4,1,3.268,4.7,15.36
3,23:36:40 GMT,0.934,1,1,9500,10000,4,1,3.272,4.7,15.378
4,23:36:40 GMT,1.243,1,1,9500,10000,4,1,3.272,4.9,16.033
5,23:36:40 GMT,1.553,1,1,9500,10000,4,1,3.272,4.6,15.051
6,23:36:40 GMT,1.862,1,1,9500,10000,4,1,3.268,4.8,15.686
7,23:36:41 GMT,2.172,1,1,9500,10000,4,1,3.268,4.6,15.033
8,23:36:41 GMT,2.481,1,1,9500,10000,4,1,3.272,4.9,16.033
9,23:36:41 GMT,2.791,1,1,9500,10000,4,1,3.268,4.7,15.36
10,23:36:42 GMT,3.101,1,1,9500,10000,4,1,3.268,4.6,15.033
11,23:36:42 GMT,3.41,1,1,9500,10000,4,1,3.272,4.8,15.706
12,23:36:42 GMT,3.72,1,1,9500,10000,4,1,3.272,4.6,15.051
13,23:36:43 GMT,4.029,1,1,9500,10000,4,1,3.268,4.7,15.36
14,23:36:43 GMT,4.339,1,1,9500,10000,4,1,3.272,4.7,15.378
15,23:36:43 GMT,4.649,1,1,9500,10000,4,1,3.268,4.6,15.033
16,23:36:44 GMT,4.958,1,1,9500,10000,4,1,3.296,-0.1,-0.33
17,23:36:44 GMT,5.292,1,1,9500,10000,4,1,3.296,-0.3,-0.989
18,23:36:44 GMT,5.598,1,1,9975,10500,4,1,3.296,-0.1,-0.33
19,23:36:44 GMT,5.904,1,1,9975,10500,4,1,3.296,0.0,0.0
20,23:36:45 GMT,6.213,1,1,9975,10500,4,1,3.296,-0.1,-0.33
21,23:36:45 GMT,6.523,1,1,9975,10500,4,1,3.296,0.0,0.0
22,23:36:45 GMT,6.832,1,1,9975,10500,4,1,3.296,-0.3,-0.989
23,23:36:46 GMT,7.142,1,1,9975,10500,4,1,3.268,4.9,16.013
24,23:36:46 GMT,7.451,1,1,9975,10500,4,1,3.272,4.8,15.706
25,23:36:46 GMT,7.761,1,1,9975,10500,4,1,3.268,4.7,15.36
26,23:36:47 GMT,8.071,1,1,9975,10500,4,1,3.268,4.5,14.706
27,23:36:47 GMT,8.38,1,1,9975,10500,4,1,3.268,4.7,15.36
28,23:36:47 GMT,8.69,1,1,9975,10500,4,1,3.272,5.1,16.687
29,23:36:48 GMT,9.0,1,1,9975,10500,4,1,3.268,4.7,15.36
30,23:36:48 GMT,9.309,1,1,9975,10500,4,1,3.264,4.6,15.014
31,23:36:48 GMT,9.619,1,1,9975,10500,4,1,3.272,4.8,15.706
32,23:36:49 GMT,9.928,1,1,9975,10500,4,1,3.268,4.6,15.033
33,23:36:49 GMT,10.238,1,1,9975,10500,4,1,3.272,4.7,15.378
34,23:36:49 GMT,10.576,1,1,9975,10500,4,1,3.268,4.7,15.36
35,23:36:49 GMT,10.882,1,1,9500,10000,4,1,3.272,4.8,15.706
36,23:36:50 GMT,11.188,1,1,9500,10000,4,1,3.268,4.6,15.033
37,23:36:50 GMT,11.497,1,1,9500,10000,4,1,3.268,4.8,15.686
38,23:36:50 GMT,11.807,1,1,9500,10000,4,1,3.272,4.6,15.051
39,23:36:51 GMT,12.116,1,1,9500,10000,4,1,3.268,4.6,15.033
40,23:36:51 GMT,12.426,1,1,9500,10000,4,1,3.268,4.8,15.686
41,23:36:51 GMT,12.735,1,1,9500,10000,4,1,3.268,4.6,15.033
42,23:36:52 GMT,13.045,1,1,9500,10000,4,1,3.268,4.7,15.36
43,23:36:52 GMT,13.355,1,1,9500,10000,4,1,3.268,4.9,16.013
44,23:36:52 GMT,13.664,1,1,9500,10000,4,1,3.296,-0.2,-0.659
45,23:36:53 GMT,13.974,1,1,9500,10000,4,1,3.296,-0.2,-0.659
46,23:36:53 GMT,14.283,1,1,9500,10000,4,1,3.296,-0.3,-0.989
47,23:36:53 GMT,14.593,1,1,9500,10000,4,1,3.296,0.0,0.0
48,23:36:53 GMT,14.902,1,1,9500,10000,4,1,3.296,-0.1,-0.33
49,23:36:54 GMT,15.212,1,1,9500,10000,4,1,3.296,-0.4,-1.318
50,23:36:54 GMT,15.522,1,1,9500,10000,4,1,3.296,-0.1,-0.33
51,23:36:54 GMT,15.86,1,1,9500,10000,4,1,3.272,4.4,14.397
52,23:36:55 GMT,16.166,1,1,11875,12500,4,1,3.272,4.8,15.706
53,23:36:55 GMT,16.471,1,1,11875,12500,4,1,3.272,4.5,14.724
54,23:36:55 GMT,16.78,1,1,11875,12500,4,1,3.268,4.8,15.686
55,23:36:56 GMT,17.09,1,1,11875,12500,4,1,3.268,4.7,15.36
56,23:36:56 GMT,17.4,1,1,11875,12500,4,1,3.268,4.9,16.013
57,23:36:56 GMT,17.709,1,1,11875,12500,4,1,3.268,4.7,15.36
58,23:36:57 GMT,18.019,1,1,11875,12500,4,1,3.268,4.6,15.033
59,23:36:57 GMT,18.328,1,1,11875,12500,4,1,3.268,4.8,15.686
60,23:36:57 GMT,18.638,1,1,11875,12500,4,1,3.268,4.9,16.013
61,23:36:58 GMT,18.947,1,1,11875,12500,4,1,3.268,4.7,15.36
62,23:36:58 GMT,19.257,1,1,11875,12500,4,1,3.268,4.8,15.686
63,23:36:58 GMT,19.566,1,1,11875,12500,4,1,3.268,4.4,14.379
64,23:36:58 GMT,19.876,1,1,11875,12500,4,1,3.268,4.9,16.013
65,23:36:59 GMT,20.186,1,1,11875,12500,4,1,3.268,4.8,15.686
66,23:36:59 GMT,20.495,1,1,11875,12500,4,1,3.268,4.8,15.686
67,23:36:59 GMT,20.805,1,1,11875,12500,4,1,3.268,5.0,16.34
68,23:37:00 GMT,21.143,1,1,11875,12500,4,1,3.272,4.9,16.033
69,23:37:00 GMT,21.449,1,1,9500,10000,4,1,3.272,5.0,16.36
70,23:37:00 GMT,21.755,1,1,9500,10000,4,1,3.268,4.7,15.36
71,23:37:01 GMT,22.064,1,1,9500,10000,4,1,3.272,4.6,15.051
72,23:37:01 GMT,22.373,1,1,9500,10000,4,1,3.268,4.6,15.033
73,23:37:01 GMT,22.683,1,1,9500,10000,4,1,3.272,4.7,15.378
74,23:37:02 GMT,22.992,1,1,9500,10000,4,1,3.268,4.6,15.033
