entry,timeGMT,timeELA (s),CRC,exec,currSpeed (0.1 RPM),refSpeed (0.1 RPM),state,clcMode,voltage (V),current (mA),power (mW)
1,05:10:13 GMT,0.323,1,1,9500,10000,4,1,3.268,4.9,16.013
2,05:10:13 GMT,1.021,1,1,9500,10000,4,1,3.268,4.5,14.706
3,05:10:14 GMT,1.721,1,1,14250,15000,4,1,3.268,4.8,15.686
4,05:10:15 GMT,2.443,1,1,14250,15000,4,1,3.268,4.7,15.36
5,05:10:15 GMT,3.142,1,1,19000,20000,4,1,3.268,4.6,15.033
6,05:10:16 GMT,3.865,1,1,23750,25000,4,1,3.268,4.8,15.686
7,05:10:17 GMT,4.565,1,1,23750,25000,4,1,3.268,4.9,16.013
8,05:10:18 GMT,5.265,1,1,28500,30000,4,1,3.268,4.6,15.033
9,05:10:18 GMT,5.989,1,1,28500,30000,4,1,3.268,4.6,15.033
10,05:10:19 GMT,6.687,1,1,33250,35000,4,1,3.268,4.7,15.36
11,05:10:20 GMT,7.411,1,1,38000,40000,4,1,3.268,4.5,14.706
12,05:10:20 GMT,8.111,1,1,38000,40000,4,1,3.268,4.9,16.013
13,05:10:21 GMT,8.811,1,1,42750,45000,4,1,3.264,4.5,14.688
14,05:10:22 GMT,9.538,1,1,42750,45000,4,1,3.264,4.8,15.667
15,05:10:23 GMT,10.237,1,1,47500,50000,4,1,3.268,4.6,15.033
16,05:10:23 GMT,10.96,1,1,52250,55000,4,1,3.264,4.7,15.341
17,05:10:24 GMT,11.661,1,1,52250,55000,4,1,3.268,4.7,15.36
18,05:10:25 GMT,12.36,1,1,57000,60000,4,1,3.264,4.6,15.014
19,05:10:25 GMT,13.084,1,1,57000,60000,4,1,3.268,4.5,14.706
20,05:10:26 GMT,13.783,1,1,61750,65000,4,1,3.268,4.8,15.686
21,05:10:27 GMT,14.506,1,1,61750,65000,4,1,3.268,4.8,15.686
22,05:10:28 GMT,15.206,1,1,61750,65000,4,1,3.264,4.8,15.667
23,05:10:28 GMT,15.906,1,1,57000,60000,4,1,3.272,4.5,14.724
24,05:10:29 GMT,16.628,1,1,57000,60000,4,1,3.268,4.7,15.36
25,05:10:30 GMT,17.328,1,1,52250,55000,4,1,3.268,4.6,15.033
26,05:10:30 GMT,18.05,1,1,47500,50000,4,1,3.268,4.5,14.706
27,05:10:31 GMT,18.75,1,1,47500,50000,4,1,3.268,4.7,15.36
28,05:10:32 GMT,19.45,1,1,42750,45000,4,1,3.268,4.7,15.36
29,05:10:33 GMT,20.172,1,1,42750,45000,4,1,3.268,4.7,15.36
30,05:10:33 GMT,20.871,1,1,38000,40000,4,1,3.268,4.7,15.36
31,05:10:34 GMT,21.594,1,1,33250,35000,4,1,3.268,4.7,15.36
32,05:10:35 GMT,22.294,1,1,33250,35000,4,1,3.268,4.8,15.686
33,05:10:35 GMT,22.994,1,1,28500,30000,4,1,3.268,4.7,15.36
34,05:10:36 GMT,23.716,1,1,28500,30000,4,1,3.264,4.7,15.341
35,05:10:37 GMT,24.415,1,1,23750,25000,4,1,3.268,4.8,15.686
36,05:10:37 GMT,25.138,1,1,19000,20000,4,1,3.268,4.6,15.033
37,05:10:38 GMT,25.838,1,1,19000,20000,4,1,3.268,4.8,15.686
38,05:10:39 GMT,26.538,1,1,14250,15000,4,1,3.268,4.7,15.36
39,05:10:40 GMT,27.267,1,1,14250,15000,4,1,3.268,4.9,16.013
40,05:10:40 GMT,27.965,1,1,9500,10000,4,1,3.268,4.7,15.36
