entry,timeGMT,timeELA (s),CRC,exec,currSpeed (0.1 RPM),refSpeed (0.1 RPM),state,clcMode,voltage (V),current (mA),power (mW)
1,00:50:12 GMT,0.322,1,1,9500,10000,4,1,3.264,4.7,15.341
2,00:50:12 GMT,0.628,1,1,9500,10000,4,1,3.272,4.7,15.378
3,00:50:13 GMT,0.937,1,1,9500,10000,4,1,3.268,4.7,15.36
4,00:50:13 GMT,1.247,1,1,9500,10000,4,1,3.272,4.8,15.706
5,00:50:13 GMT,1.556,1,1,9500,10000,4,1,3.272,5.2,17.014
6,00:50:14 GMT,1.866,1,1,9500,10000,4,1,3.268,4.7,15.36
7,00:50:14 GMT,2.175,1,1,9500,10000,4,1,3.268,4.7,15.36
8,00:50:14 GMT,2.485,1,1,9500,10000,4,1,3.268,4.7,15.36
9,00:50:15 GMT,2.794,1,1,9500,10000,4,1,3.268,4.8,15.686
10,00:50:15 GMT,3.103,1,1,9500,10000,4,1,3.268,4.8,15.686
11,00:50:15 GMT,3.441,1,1,-9500,-10000,4,1,3.268,4.6,15.033
12,00:50:15 GMT,3.751,1,1,-9500,-10000,4,1,3.268,4.9,16.013
13,00:50:16 GMT,4.06,1,1,-9500,-10000,4,1,3.268,4.8,15.686
14,00:50:16 GMT,4.37,1,1,-9500,-10000,4,1,3.272,5.0,16.36
15,00:50:16 GMT,4.679,1,1,-9500,-10000,4,1,3.268,4.5,14.706
16,00:50:17 GMT,4.989,1,1,-9500,-10000,4,1,3.268,4.8,15.686
17,00:50:17 GMT,5.299,1,1,-9500,-10000,4,1,3.264,4.8,15.667
18,00:50:17 GMT,5.609,1,1,-9500,-10000,4,1,3.264,4.7,15.341
19,00:50:18 GMT,5.919,1,1,-9500,-10000,4,1,3.264,4.5,14.688
20,00:50:18 GMT,6.228,1,1,-9500,-10000,4,1,3.268,4.6,15.033
21,00:50:18 GMT,6.555,1,1,9500,10000,4,1,3.268,4.9,16.013
22,00:50:19 GMT,6.865,1,1,9500,10000,4,1,3.268,4.9,16.013
23,00:50:19 GMT,7.174,1,1,9500,10000,4,1,3.272,4.7,15.378
24,00:50:19 GMT,7.483,1,1,9500,10000,4,1,3.268,4.6,15.033
25,00:50:20 GMT,7.793,1,1,9500,10000,4,1,3.268,4.6,15.033
26,00:50:20 GMT,8.103,1,1,9500,10000,4,1,3.268,4.9,16.013
27,00:50:20 GMT,8.412,1,1,9500,10000,4,1,3.268,4.6,15.033
28,00:50:20 GMT,8.722,1,1,9500,10000,4,1,3.268,4.7,15.36
29,00:50:21 GMT,9.031,1,1,9500,10000,4,1,3.272,4.7,15.378
30,00:50:21 GMT,9.341,1,1,9500,10000,4,1,3.268,4.9,16.013
31,00:50:21 GMT,9.681,1,1,-9500,-10000,4,1,3.268,4.6,15.033
32,00:50:22 GMT,9.99,1,1,-9500,-10000,4,1,3.268,4.7,15.36
33,00:50:22 GMT,10.3,1,1,-9500,-10000,4,1,3.268,4.7,15.36
34,00:50:22 GMT,10.609,1,1,-9500,-10000,4,1,3.268,4.6,15.033
35,00:50:23 GMT,10.919,1,1,-9500,-10000,4,1,3.268,4.8,15.686
36,00:50:23 GMT,11.228,1,1,-9500,-10000,4,1,3.268,4.7,15.36
37,00:50:23 GMT,11.538,1,1,-9500,-10000,4,1,3.268,4.9,16.013
38,00:50:24 GMT,11.847,1,1,-9500,-10000,4,1,3.268,4.6,15.033
39,00:50:24 GMT,12.157,1,1,-9500,-10000,4,1,3.268,4.9,16.013
40,00:50:24 GMT,12.466,1,1,-9500,-10000,4,1,3.268,4.9,16.013
41,00:50:25 GMT,12.805,1,1,9500,10000,4,1,3.268,4.6,15.033
42,00:50:25 GMT,13.114,1,1,9500,10000,4,1,3.268,4.7,15.36
43,00:50:25 GMT,13.424,1,1,9500,10000,4,1,3.268,4.8,15.686
44,00:50:25 GMT,13.733,1,1,9500,10000,4,1,3.268,4.8,15.686
45,00:50:26 GMT,14.043,1,1,9500,10000,4,1,3.268,4.9,16.013
46,00:50:26 GMT,14.353,1,1,9500,10000,4,1,3.268,4.8,15.686
47,00:50:26 GMT,14.662,1,1,9500,10000,4,1,3.272,4.8,15.706
48,00:50:27 GMT,14.972,1,1,9500,10000,4,1,3.268,4.7,15.36
49,00:50:27 GMT,15.281,1,1,9500,10000,4,1,3.268,4.6,15.033
50,00:50:27 GMT,15.591,1,1,9500,10000,4,1,3.268,4.7,15.36
51,00:50:28 GMT,15.923,1,1,9500,10000,4,1,3.268,4.9,16.013
52,00:50:28 GMT,16.228,1,1,-9500,-10000,4,1,3.272,4.7,15.378
53,00:50:28 GMT,16.536,1,1,-9500,-10000,4,1,3.268,4.9,16.013
54,00:50:29 GMT,16.845,1,1,-9500,-10000,4,1,3.272,5.0,16.36
55,00:50:29 GMT,17.155,1,1,-9500,-10000,4,1,3.268,4.4,14.379
56,00:50:29 GMT,17.464,1,1,-9500,-10000,4,1,3.268,4.8,15.686
57,00:50:30 GMT,17.774,1,1,-9500,-10000,4,1,3.268,4.7,15.36
58,00:50:30 GMT,18.083,1,1,-9500,-10000,4,1,3.268,4.6,15.033
59,00:50:30 GMT,18.393,1,1,-9500,-10000,4,1,3.268,4.7,15.36
60,00:50:30 GMT,18.702,1,1,-9500,-10000,4,1,3.268,4.8,15.686
61,00:50:31 GMT,19.012,1,1,-9500,-10000,4,1,3.272,4.6,15.051
62,00:50:31 GMT,19.344,0,1,-9500,-33040,4,1,3.268,4.8,15.686
63,00:50:31 GMT,19.65,1,1,9500,10000,4,1,3.268,4.6,15.033
64,00:50:32 GMT,19.957,1,1,9500,10000,4,1,3.268,4.7,15.36
65,00:50:32 GMT,20.266,1,1,9500,10000,4,1,3.268,4.9,16.013
66,00:50:32 GMT,20.576,1,1,9500,10000,4,1,3.268,4.8,15.686
67,00:50:33 GMT,20.885,1,1,9500,10000,4,1,3.268,4.6,15.033
68,00:50:33 GMT,21.195,1,1,9500,10000,4,1,3.272,4.8,15.706
69,00:50:33 GMT,21.504,1,1,9500,10000,4,1,3.268,4.6,15.033
70,00:50:34 GMT,21.814,1,1,9500,10000,4,1,3.268,4.8,15.686
71,00:50:34 GMT,22.124,1,1,9500,10000,4,1,3.268,4.7,15.36
72,00:50:34 GMT,22.433,1,1,9500,10000,4,1,3.268,4.8,15.686
73,00:50:34 GMT,22.743,1,1,9500,10000,4,1,3.268,4.7,15.36
74,00:50:35 GMT,23.052,1,1,9500,10000,4,1,3.268,4.9,16.013
75,00:50:35 GMT,23.362,1,1,9500,10000,4,1,3.268,4.6,15.033
76,00:50:35 GMT,23.766,1,1,-9500,-10000,4,1,3.268,4.8,15.686
77,00:50:36 GMT,24.072,1,1,-9500,-10000,4,1,3.268,4.7,15.36
78,00:50:36 GMT,24.38,1,1,-9500,-10000,4,1,3.268,4.8,15.686
79,00:50:36 GMT,24.69,1,1,-9500,-10000,4,1,3.268,4.8,15.686
80,00:50:37 GMT,24.999,1,1,-9500,-10000,4,1,3.268,4.6,15.033
81,00:50:37 GMT,25.309,1,1,-9500,-10000,4,1,3.272,4.8,15.706
82,00:50:37 GMT,25.618,1,1,-9500,-10000,4,1,3.272,4.9,16.033
83,00:50:38 GMT,25.928,1,1,-9500,-10000,4,1,3.268,4.6,15.033
84,00:50:38 GMT,26.237,1,1,-9500,-10000,4,1,3.268,4.7,15.36
85,00:50:38 GMT,26.547,1,1,-9500,-10000,4,1,3.272,4.8,15.706
86,00:50:39 GMT,26.856,1,1,-9500,-10000,4,1,3.272,4.9,16.033
87,00:50:39 GMT,27.166,1,1,-9500,-10000,4,1,3.268,4.6,15.033
88,00:50:39 GMT,27.475,1,1,-9500,-10000,4,1,3.268,4.8,15.686
89,00:50:40 GMT,27.883,1,1,9500,10000,4,1,3.268,4.7,15.36
90,00:50:40 GMT,28.189,1,1,9500,10000,4,1,3.268,4.8,15.686
91,00:50:40 GMT,28.497,1,1,9500,10000,4,1,3.268,4.6,15.033
92,00:50:41 GMT,28.807,1,1,9500,10000,4,1,3.268,4.7,15.36
93,00:50:41 GMT,29.116,1,1,9500,10000,4,1,3.272,5.0,16.36
94,00:50:41 GMT,29.426,1,1,9500,10000,4,1,3.268,4.6,15.033
95,00:50:41 GMT,29.735,1,1,9500,10000,4,1,3.268,4.9,16.013
96,00:50:42 GMT,30.045,1,1,9500,10000,4,1,3.268,4.6,15.033
97,00:50:42 GMT,30.355,1,1,9500,10000,4,1,3.268,4.8,15.686
98,00:50:42 GMT,30.664,1,1,9500,10000,4,1,3.268,4.6,15.033
99,00:50:43 GMT,30.973,1,1,9500,10000,4,1,3.268,4.7,15.36
100,00:50:43 GMT,31.283,1,1,9500,10000,4,1,3.268,4.6,15.033
